id,level,keywords,template
taxi_route_change_1,elevated,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
taxi_route_change_2,normal,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
taxi_route_change_3,elevated,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
taxi_route_change_4,urgent,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
taxi_route_change_5,elevated,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
taxi_route_change_6,elevated,route|driver,"Ask calmly about the route, keep phone visible, and ask to stop at a busy place if uncomfortable."
being_followed_1,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
being_followed_2,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
being_followed_3,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
being_followed_4,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
being_followed_5,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
being_followed_6,urgent,follow|following,"Stay calm. Move to a busy spot, call someone, and do not go home. If threatened, contact emergency services."
home_noise_1,normal,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
home_noise_2,normal,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
home_noise_3,normal,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
home_noise_4,elevated,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
home_noise_5,normal,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
home_noise_6,urgent,noise|door,"Lock doors/windows, turn on lights, stay in a safe room and call for help if needed."
public_touch_1,normal,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
public_touch_2,normal,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
public_touch_3,normal,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
public_touch_4,elevated,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
public_touch_5,elevated,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
public_touch_6,elevated,touch|grop,"Move away, assertively say 'stop', move near others or the driver/guard and seek help."
late_night_walk_1,normal,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
late_night_walk_2,elevated,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
late_night_walk_3,urgent,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
late_night_walk_4,elevated,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
late_night_walk_5,normal,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
late_night_walk_6,normal,night|dark,"Walk toward lit areas, call someone while walking, avoid isolated routes."
parking_lot_1,urgent,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
parking_lot_2,normal,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
parking_lot_3,normal,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
parking_lot_4,normal,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
parking_lot_5,elevated,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
parking_lot_6,urgent,parking|lot,"Stay near lights, keep keys ready, and walk with purpose to your vehicle. If followed, go to a store or security."
bus_train_1,normal,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
bus_train_2,normal,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
bus_train_3,elevated,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
bus_train_4,elevated,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
bus_train_5,elevated,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
bus_train_6,normal,bus|train,"Move to a carriage with more people, alert staff or driver, and document the incident."
date_safety_1,normal,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
date_safety_2,elevated,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
date_safety_3,elevated,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
date_safety_4,elevated,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
date_safety_5,normal,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
date_safety_6,urgent,date|meeting,"Share meeting details with a trusted contact, set a check-in, meet in public places."
roommate_issue_1,urgent,roommate|friend,"Prioritize your immediate safety, go to a separate room, and reach out to someone you trust."
roommate_issue_2,normal,roommate|friend,"Prioritize your immediate safety, go to a separate room, and reach out to someone you trust."
